id,name,host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm;
"518545,""CBD Loft Free Wi-Fi, Parking, Gym, Balcony and BBQ"",2516345,Jaco,Ward 115,-33.92218,18.42151,Entire home/apt,1742,1,6,2022-08-08,0.05,80,260,0";
36499,Lovely Garden Cottage Close To The Beach Cape Town,156910,Dave,Ward 107,-33.81963,18.48455,Entire home/apt,950,2,30,2022-02-12,0.19,6,365,0;
82212,Perfect Beachfront Apartment,404176,Gayle,Ward 54,-33.91788,18.38626,Entire home/apt,1352,2,35,2024-01-25,0.23,5,229,4;
518726,COLLINGWOOD STUD Entire Guest House,2552379,David,Ward 105,-33.81008,18.62134,Private room,4,3,2016-01-03,0.02,3,0,0;
96036,Unique Town House -Green Point,510489,Christan,Ward 115,-33.91017,18.41032,Entire home/apt,4500,4,25,2024-01-12,0.16,1,364,2;
518837,5 Kingfisher: Studio apartment with a view,2552971,Lucinda,Ward 61,-34.13822,18.33371,Entire home/apt,850,2,65,2024-04-26,0.97,2,279,8;
101292,ChicShak Self Catering Accommodation in Muizenberg,531026,Carey,Ward 64,-34.10327,18.47259,Entire home/apt,450,1,37,2022-05-31,0.27,1,0,0;
543206,2OceansApartments Adult Only SelfCatering Studio 1,2670647,Anja & Thomas,Ward 69,-34.12146,18.39356,Entire home/apt,1100,2,3,2019-12-26,0.02,2,264,0;
106673,Omega 4. Wouldn't you like to safely live here?,339579167,Penguins Cove,Ward 23,-33.80609,18.46716,Entire home/apt,850,2,23,2024-02-11,0.20,7,364,2;
553936,Modern Beach Front Apartment in Bloubergstrand,65714,John,Ward 23,-33.81839,18.47531,Entire home/apt,2,1,2022-03-07,0.04,1,146,0;
114218,Mid-century Table Mountain Magic,579839,Oliver,Ward 77,-33.9386,18.39868,Entire home/apt,8054,7,25,2024-01-02,0.16,1,92,1;
563459,Spacious bedroom with en-suite & separate entrance,2762369,Karis,Ward 115,-33.9099,18.40314,Entire home/apt,980,2,65,2024-03-22,0.72,2,340,23;
"122455,""Yellow lifestyle, Sea Views & NO loadshedding!"",613674,Randolf,Ward 115,-33.91026,18.40473,Entire home/apt,5900,2,27,2024-03-10,0.90,2,175,8";
565844,Makai Surf Lodge Cape Town,2782178,Rik,Ward 113,-33.82977,18.49745,Private room,876,4,5,2024-01-17,0.04,1,365,1;
123012,The Studio,615652,Doreen,Ward 77,-33.93136,18.40629,Entire home/apt,3000,1,33,2018-09-02,0.22,5,205,0;
590826,Cape Town Waterfront Apartment,2915241,Nicole,Ward 115,-33.91248,18.42548,Entire home/apt,2250,2,9,2023-02-21,0.07,4,362,0;
123076,GARDEN COTTAGE,615652,Doreen,Ward 77,-33.93266,18.40766,Entire home/apt,4200,1,15,2017-03-24,0.10,5,177,0;
606963,Lovely Guesthouse with Old-Fashioned Service and Ocean View,3007248,Florian,Ward 64,-34.12555,18.44886,Private room,1300,1,102,2024-05-29,0.74,20,351,12;
133339,Cape Town Gardens Guest Suite,654987,Alice,Ward 77,-33.93576,18.40402,Private room,1350,3,102,2024-03-18,0.65,3,41,2;
611956,COLONIAL STYLE SEA POINT APARTMENT,3035834,Darryl And Ron,Ward 54,-33.91467,18.38925,Entire home/apt,1600,5,130,2021-01-05,0.91,3,93,0;
200211,Beautiful & Cosy Ocean View Apartment - must see!,978466,Anne-Lotte,Ward 54,-33.9143,18.39538,Entire home/apt,1201,3,116,2024-03-12,0.75,1,179,5;
"613068,""Our family home, nice and cozy well"",2600948,Justino,Ward 21,-33.88196,18.63907,Entire home/apt,1,0,1,0,0";
